Year	Original Title	                     Director	            Actor asJames Bond
1962	Dr. No	                            Terence Young	    Sean Connery
1963	From Russia with Love	            Terence Young	    Sean Connery
1964	Goldfinger	                    Guy Hamilton	    Sean Connery
1965	Thunderball	                    Terence Young	    Sean Connery
1967	You Only Live Twice	            Lewis Gilbert	    Sean Connery
1967	Casino Royale	                    McGrath, Robert	    David Niven	
1969	"On Her Majesty's Secret Service"   Peter R. Hunt	    George Lazenby
1971	Diamonds Are Forever	            Guy Hamilton	    Sean Connery
1973	Live and Let Die	            Guy Hamilton	    Roger Moore
1974	"The Man with the Golden Gun"	    Guy Hamilton	    Roger Moore
1977	The Spy Who Loved Me	            Lewis Gilbert	    Roger Moore
1979	Moonraker	                    Lewis Gilbert	    Roger Moore
1981	For Your Eyes Only	            John Glen	            Roger Moore
1983	Octopussy			    John Glen	            Roger Moore
1983	Never Say Never Again	            Irvin Kershner	    Sean Connery
1985	A View to a Kill	            John Glen	            Roger Moore
1987	The Living Daylights		    John Glen	            Timothy Dalton
1989	Licence to Kill	 		    John Glen	            Timothy Dalton
1995	GoldenEye			    Martin Campbell	    Pierce Brosnan
1997	Tomorrow Never Dies		    Roger Spottiswoode	    Pierce Brosnan
1999	The World Is Not Enough		    Michael Apted	    Pierce Brosnan
2002	Die Another Day	                    Lee Tamahori	    Pierce Brosnan
2006	Casino Royale		            Martin Campbell	    Daniel Craig
2008	Quantum of Solace		    Marc Forster	    Daniel Craig
2012	Skyfall				    Sam Mendes	            Daniel Craig
